,Name,Age,Position,Club,Nationality
13068, F. Mwepu,20,ST,SK Sturm Graz,Zambia
13069, T. Anselm,20,ST,WSG Tirol,Austria
13070, D. Bangoura,18,LM,Stade Brestois 29,Guinea
13071, J. Ganda,23,LM,FC Admira Wacker Modling,Israel
13072, R. Korboa,23,RW,Northampton Town,England
13073, S. Anne,22,ST,CD Tondela,Mauritania
13074, R. Towler,18,LWB,Bristol City,England
13075, D. Sinani,23,CAM,Waasland-Beveren,Luxembourg
13076, M. Vulic,23,CM,Crotone,Serbia
13077, B. Hein,18,LB,Hamburger SV,Germany
13078, K. Ndiaye,20,GK,Atalanta,Senegal
13079, D. Vizinger,22,ST,Wolfsberger AC,Croatia
13080, Salinas,19,LB,Elche CF,Spain
13081, Lluis Andreu,20,GK,Elche CF,Spain
13082, M. Ilic,22,GK,KV Kortrijk,Serbia
13083, Andre Mendes,17,GK,Morecambe,Portugal
13084, T. Rochat,20,CM,FC Lausanne-Sport,Switzerland
13085, Quindimil,20,CB,CD Lugo,Spain
13086, B. Hough,17,CM,Oldham Athletic,England
13087, L. Caciano,18,RM,FC Emmen,Curacao
13088, P. Ortiz,20,CB,America de Cali,Colombia
13089, T. Siersleben,20,CB,VfL Wolfsburg,Germany
13090, S. Damiani,22,CDM,Empoli,Italy
13091, L. Kronberger,18,LM,FC Admira Wacker Modling,Austria
13092, L. Sulzbacher,20,RB,SK Rapid Wien,Austria
13093, T. Jallow,17,RM,Milton Keynes Dons,Gambia
13094, H. Ditchfield,18,LB,Salford City,England
13096, J. Hawkins,19,RM,FC Ingolstadt 04,United States
13097, A. Pantea,16,LB,FCSB (Steaua),Romania
13098, J. Ospelt,20,GK,FC Vaduz,Liechtenstein
13099, N. Baxevanos,20,CB,Politehnica Iasi,Greece
13100, A. Martial,19,CM,Servette FC,France
13101, M. Aljic,20,CB,Clermont Foot 63,France
13102, Jesus Ruiz,23,GK,AD Alcorcon,Spain
13103, H. Biler,18,RWB,AFC Wimbledon,England
13104, A. Hock,18,CB,Viktoria Koln,Germany
13105, J. Le Douaron,22,LM,Stade Brestois 29,France
13106, L. Morison,18,CM,Exeter City,England
13107, T. Ndicka Matam,20,LWB,KV Oostende,France
13108, K. Inoue,21,RM,Oita Trinita,Japan
13109, P. Steinwender,23,RM,VfB Lubeck,Germany
13110, P. Arganaraz,21,ST,Central Cordoba,Argentina
13111, L. Sequeira,17,CAM,San Lorenzo de Almagro,Argentina
13112, F. Arthur,20,CB,Hull City,Germany
13113, K. Koreniuk,22,LM,LA Galaxy,United States
13114, M. Ramusovic,19,CDM,1. FC Heidenheim 1846,Bosnia Herzegovina
13115, G. Montes,25,CM,Queretaro,Uruguay
13116, Ruben Freitas,27,RB,CD Nacional,Portugal
13117, E. Peretz,23,CAM,Wolfsberger AC,Israel
13118, A. Jankewitz,18,CM,Southampton,Switzerland
13119, B. Pernot,21,CB,SC Verl,Germany
13120, C. Antwi,18,CDM,Blackpool,England
13121, Fabricio Isidoro,28,CM,Farense,Brazil
13122, J. Burton,18,ST,Tranmere Rovers,England
13123, J. Wehking,20,GK,Fortuna Sittard,Germany
13124, B. Nsimba,20,ST,Royal Antwerp FC,Belgium
13125, Gustavo Maia,19,LW,FC Barcelona,Brazil
13126, W. Swan,19,ST,Port Vale,England
13127, Ander Vitoria,30,ST,UD Logrones,Spain
13128, Zelu,24,RM,UD Logrones,Spain
13129, M. Rea,22,CB,Queretaro,Uruguay
13130, B. Domingues,20,LM,ESTAC Troyes,France
13131, Y. Ayari,16,CM,AIK,Sweden
13132, T. Oosting,20,ST,RKC Waalwijk,Netherlands
13133, Jose Oliveira,18,GK,FC Pacos de Ferreira,Portugal
13134, Tan Chun Lok,24,CM,Guangzhou R&F FC,Hong Kong
13135, D. N'Landu,19,CAM,Royal Excel Mouscron,France
13136, N. Bretschneider,20,LB,MSV Duisburg,Germany
13137, D. Whitehall,24,ST,Kilmarnock,England
13138, Ruben Diez,26,ST,C.D. Castellon,Spain
13139, D. Trivunic,18,CDM,Karlsruher SC,Serbia
13140, S. Sidibe,19,RM,FC Emmen,Belgium
13141, P. Janasik,22,RB,Slask Wroclaw,Poland
13142, T. Owolabi,24,ST,Finn Harps,Nigeria
13143, K. Horvath,18,CAM,Torino,Hungary
13144, N. Fiedosewicz,22,LB,Warta Poznan,Poland
13145, R. Straczek,21,GK,Stal Mielec,Poland
13146, Pedro Henrique,23,ST,Farense,Brazil
13147, M. Stolt,19,CM,Ostersunds FK,Sweden
13148, T. Sobowale,21,RB,Waterford FC,Republic of Ireland
13149, M. Trmal,21,GK,Vitoria Guimaraes,Czech Republic
13150, A. Newby,24,RW,Rochdale,England
13151, J. Belshaw,29,GK,Harrogate Town,England
13152, T. Tomic,29,CDM,FC Admira Wacker Modling,Bosnia Herzegovina
13153, A. Gulstorff,17,GK,FC Nordsjaelland,Denmark
13154, Song Yue,28,CM,Tianjin TEDA FC,China PR
13155, Santamaria,20,CM,CD Mirandes,Spain
13156, Mario,21,LB,CD Leganes,Spain
13157, R. Yasunaga,19,CDM,Yokohama FC,Japan
13158, T. Seko,22,CDM,Yokohama FC,Japan
13159, K. Saito,18,ST,Yokohama FC,Japan
13160, D. Rooney,22,LM,Shelbourne FC,Republic of Ireland
13161, C. Espinola,20,RB,Nacional Asuncion,Paraguay
13162, A. Liljenback,25,RWB,Varbergs BoIS,Sweden
13163, Pedro Raul,23,ST,Kashiwa Reysol,Brazil
13164, M. Tanzmayr,18,RW,SKN St. Polten,Austria
13165, J. Kaluzinski,17,CM,Lechia Gdansk,Poland
13166, J. Sagredo,26,CB,The Strongest,Bolivia
13167, G. Campbell,19,CB,Atlanta United,United States
13168, Shin Won Ho,19,LB,Gamba Osaka,Korea Republic
13169, B. Cetin,20,LB,Kasimpasa SK,Turkey
13170, R. Ishida,18,RB,Nagoya Grampus,Japan
13171, Kim Jin Hyun,20,CM,Pohang Steelers,Korea Republic
13172, C. Garcia,17,ST,Real Salt Lake,United States
13173, M. Tamas,26,CB,Slask Wroclaw,Hungary
13174, L. Soza,22,RB,CD Antofagasta,Chile
13175, Ander Iru,21,GK,Athletic Club de Bilbao,Spain
13176, 20 L. Abanda,19,LB,Neuchatel Xamax,France
13177, J. Miers,19,GK,Cerro Porteno,Paraguay
13178, 20 P. Diaz,19,CDM,Rionegro Aguilas,Colombia
13179, V. Abrego,23,ST,Club Bolivar,Bolivia
13180, I. Achara,22,RW,Toronto FC,Nigeria
13181, P. Koffi,18,ST,Paris FC,France
13182, A. Rodriguez,17,GK,Colorado Rapids,United States
13183, M. Correa,20,GK,Penarol,Uruguay
13184, S. Notaroberto,22,LB,Caracas FC,Venezuela
13185, E. Zuelli,18,CDM,Chievo Verona,Italy
13186, Leandro Silva,21,LW,Rio Ave FC,Brazil
13187, J. Villarruel,21,CM,LDU Quito,Ecuador
13188, 20 L. Ahrend,19,CDM,SpVgg Greuther Furth,Germany
13189, A. Cretu,28,CDM,,Romania
13190, P. Hasenhuttl,23,ST,SpVgg Unterhaching,Austria
13191, J. Schoppner,21,CM,1. FC Heidenheim 1846,Germany
13192, A. Lopez,20,CM,Club Atlas,Mexico
13193, K. Kostadinov,17,CM,Stabaek Fotball,Norway
13194, I. Maatta,18,RM,Aalesunds FK,Norway
13195, J. Matete,19,CM,Grimsby Town,England
13196, J. Moon,19,CB,Barnsley,England
13197, I. Takidine,19,RW,RSC Anderlecht,Belgium
13198, B. Bischof,17,CDM,SV Wehen Wiesbaden,Germany
13199, A. Molinas,19,CAM,Boca Juniors,Argentina
13200, N. Mayembe,17,LM,Cardiff City,England
13201, J. Garcia,18,RB,Velez Sarsfield,Argentina
13202, V. Bernedo,19,GK,Universidad Catolica,Chile
13203, C. Reiner,22,CB,SV Ried,Austria
13204, G. Fuentes,17,GK,CD Palestino,Chile
13205, J. Mulato,17,LW,Deportivo Cali,Colombia
13206, M. Elechi,18,LB,Oxford United,England
13207, W. Lancaster,17,CM,Barnsley,England
13208, L. Bury,24,CB,Pau FC,France
13209, J. Andrews,18,ST,Harrogate Town,England
13210, M. Fenger,18,ST,Odense Boldklub,Denmark
13211, V. Daguin,20,CB,FC Nantes,France
13212, M. Biron,22,ST,AS Nancy Lorraine,France
13213, J. Tolinsson,17,CB,IFK Goteborg,Sweden
13214, C. Caton,17,ST,Shrewsbury,Wales
13215, N. Woodthorpe,18,LB,Crewe Alexandra,England
13216, O. Sivertsen,16,LM,Kristiansund BK,Norway
13217, J. Velasquez,21,CDM,Cusco FC,Peru
13218, A. Negrea,21,LB,Chindia Targoviste,Romania
13219, C. Eriksson,25,GK,Mjallby AIF,Finland
13220, A. Petersson,19,CM,Mjallby AIF,Sweden
13221, W. Forrester,19,CB,Stoke City,England
13222, D. Olafsson,25,LB,Aalesunds FK,Iceland
13223, N. Slonina,19,CB,Chicago Fire,United States
13224, A. Marinelli,21,LM,Rosario Central,Argentina
13225, S. Sebulonsen,20,RB,Viking FK,Norway
13226, J. Bender,18,RM,Orlando City SC,United States
13227, K. De La Hoz,21,CB,Academia Puerto Cabello,Venezuela
13228, J. Fernandez,21,CB,Montevideo City Torque,Uruguay
13229, Y. Oukili,19,CM,RKC Waalwijk,Netherlands
13230, A. Ejupi,27,CDM,Varbergs BoIS,Sweden
13231, F. Ibarra,19,CDM,Atlanta United,Argentina
13232, J. Espinola,25,GK,Godoy Cruz,Paraguay
13233, M. Arzamendia,22,GK,Olimpia Asuncion,Paraguay
13234, K. Bangunagande,18,LB,FC Tokyo,Japan
13235, J. Davison,20,ST,Forest Green Rovers,England
13236, S. Perry,18,CM,Walsall,England
13237, C. Saydee,18,ST,Bournemouth,England
13238, Lee Kang Hee,18,CDM,Suwon Samsung Bluewings,Korea Republic
13239, A. Souper,21,CAM,CD Antofagasta,United States
13240, C. Velez,27,CDM,Delfin SC,Ecuador
13241, J. Leesley,26,LM,Harrogate Town,England
13242, O. Panuco,18,LM,FC Juarez,Mexico
13243, T. Tamas,19,LB,Montpellier HSC,France
13244, M. Rivera,18,RW,AS Saint-Etienne,France
13245, D. Nealis,21,RB,Nashville SC,United States
13246, P. Adorno,24,CB,Cerro Porteno,Paraguay
13247, O. Bonsu,19,RW,Caracas FC,Ghana
13248, T. Cantoro,19,ST,Universitario de Deportes,Argentina
13249, S. Muller,19,ST,VfL Osnabruck,Germany
13250, D. Segura,21,LW,Puebla FC,Ecuador
13251, J. Recalde,28,ST,Olimpia Asuncion,Paraguay
13252, B. Hjertstrand,26,LB,Orebro SK,Sweden
13253, E. Lopez,21,GK,LA Galaxy,United States
13254, D. Celea,24,CB,Chindia Targoviste,Romania
13255, E. Shamir,25,CM,Standard de Liege,Israel
13256, 20 G. Culhaci,19,LB,FC Utrecht,Netherlands
13257, S. Zobo,19,ST,Toulouse Football Club,Cameroon
13258, D. Dabo,27,CDM,Kilmarnock,France
13259, A. Dumitrescu,19,LB,Sepsi OSK,Romania
13260, M. Iloski,20,ST,Real Salt Lake,United States
13261, Joao Monteiro,19,GK,Os Belenenses,Portugal
13262, L. Owusu,23,CDM,Vancouver Whitecaps FC,Ghana
13263, J. Candia,25,ST,Arsenal de Sarandi,Uruguay
13264, M. Perez,20,CB,Club Atletico Lanus,Argentina
13265, P. Hellebrand,21,CAM,SK Slavia Praha,Czech Republic
13266, G. Can,20,CB,Denizlispor,Turkey
13267, D. Ovando,18,RW,CD Huachipato,Ecuador
13268, M. Navarro,21,LB,Chicago Fire,Venezuela
13269, J. Mamani,19,CDM,Always Ready,Bolivia
13270, Park Kyung Bae,19,ST,Gangwon FC,Korea Republic
13271, D. Velkovski,25,LB,KSV Cercle Brugge,Bulgaria
13272, 20 Gabriel Canela,19,RM,SV Zulte-Waregem,Brazil
13273, T. Kaneko,22,RM,Hokkaido Consadole Sapporo,Japan
13274, Camilo,21,CAM,Olympique Lyonnais,Brazil
13275, K. Tobers,19,CB,Lechia Gdansk,Latvia
13276, F. Franco,21,RB,Cerro Porteno,Paraguay
13277, A. Medina,22,RM,Liverpool Futbol Club,Uruguay
13278, B. Olivera,26,CAM,Centro Atletico Fenix,Uruguay
13279, J. Izquierdo,22,CB,Atletico de San Luis,Uruguay
13280, E. Busquets,19,RB,Penarol,Uruguay
13281, H. Magallanes,22,CB,Queretaro,Uruguay
13282, Leo Coelho,27,CB,Centro Atletico Fenix,Brazil
13283, J. Toledo,24,CB,Centro Atletico Fenix,Uruguay
13284, R. Schunke,28,CB,Independiente del Valle,Argentina
13285, J. Pinos,30,GK,Independiente del Valle,Ecuador
13286, A. Landazuri,23,RB,Independiente del Valle,Ecuador
13287, H. Galindez,33,GK,Universidad Catolica del Ecuador,Ecuador
13288, J. Chala,25,RW,Godoy Cruz,Ecuador
13289, G. Links,21,RW,Aarhus GF,South Africa
13290, 20 J. Hupe,19,GK,Borussia Dortmund,Germany
13291, L. Schuster,19,CDM,SK Rapid Wien,Austria
13292, D. Yongwa,19,LB,Chamois Niortais Football Club,Cameroon
13293, D. Savic,19,LM,SK Rapid Wien,Serbia
13294, C. Zimba,18,ST,Cardiff City,England
13295, D. Morales,28,LW,Sport Huancayo,Peru
13296, A. Fuentes,20,RB,Carlos A. Mannucci,Peru
13297, R. Solis,22,GK,Sporting Cristal,Peru
13298, A. Mota,20,CB,Tigres U.A.N.L.,Mexico
13299, E. Rivas,18,ST,Estudiantes de Merida,Venezuela
13300, D. Power,19,RB,Waterford FC,Republic of Ireland
13301, C. Sykes,17,CM,Middlesbrough,England
13302, G. Barreto,24,CAM,Universitario de Deportes,Peru
13303, G. Castillo,29,CB,The Strongest,Uruguay
13304, E. Gularte,22,CB,Puebla FC,Uruguay
13305, R. Guarderas,26,CDM,Universitario de Deportes,Peru
13306, P. Zubczuk,25,GK,Universitario de Deportes,Peru
13307, J. Calderon,22,GK,Universitario de Deportes,Peru
13308, W. Aguerre,27,GK,Cerro Largo,Uruguay
13309, E. Fereira,19,RB,Caracas FC,Venezuela
13310, P. Perlaza,29,RB,LDU Quito,Ecuador
13311, N. Cabanillas,19,RW,Universitario de Deportes,Peru
13312, E. Navas,20,RM,Guairena FC,Venezuela
13313, D. Saggiomo,21,CAM,Argentinos Juniors,Venezuela
13314, I. Anton,31,ST,Metropolitanos FC,Venezuela
13315, K. Mashigo,19,CM,Waterford FC,South Africa
13316, H. El Shahat,28,RW,,Egypt
13317, M. Mvala,26,CDM,,South Africa
13318, F. Calderon,22,CB,Union de Santa Fe,Argentina
13319, Huang Ruifeng,20,CM,Shenzhen FC,China PR
13320, J. Persson,18,ST,IK Sirius,Sweden
13321, J. Julio,21,CF,LDU Quito,Ecuador
13322, L. Ayala,26,LB,LDU Quito,Ecuador
13323, C. Dekuyper,20,CDM,KSV Cercle Brugge,Belgium
13324, F. Bonini,18,CB,Bologna,Italy
13325, M. Miranda,20,CAM,Gimnasia y Esgrima La Plata,Argentina
13326, N. Pijnaker,21,CB,Rio Ave FC,New Zealand
13327, 20 Z. Nagy,26,LB,,Hungary
13328, J. Espinoza,21,RB,Chicago Fire,Ecuador
13329, Anderson Oliveira,21,RW,Portimonense SC,Brazil
13330, R. Caicedo,30,RB,Emelec,Ecuador
13331, S. Abdulai,21,CDM,Getafe CF,Ghana
13332, B. Carabali,22,RM,Emelec,Ecuador
13333, K. Egell-Johnsen,20,RB,Odds BK,Norway
13334, T. Capusa,22,RB,Chindia Targoviste,Romania
13335, J. Garcia,18,GK,Getafe CF,Colombia
13336, B. Hurtado,21,LW,AC Mineros de Guayana,Venezuela
13337, 20 O. Carabali,22,GK,Colo-Colo,Chile
13338, R. Nizet,18,LB,Norwich City,Belgium
13339, A. Maiz,19,CM,Cerro Porteno,Paraguay
13340, 20 S. Wearne,18,CAM,Middlesbrough,England
13341, E. Maciel,23,CDM,Montreal Impact,Argentina
13342, Kim Tae Hyeon,19,CB,Ulsan Hyundai FC,Korea Republic
13343, M. Rosolek,18,ST,Legia Warszawa,Poland
13344, A. Paluszek,19,CB,Gornik Zabrze,Poland
13345, 20 Gandoy,20,CDM,Deportivo de La Coruna,Spain
13346, L. Lukacevic,21,LB,FC Admira Wacker Modling,Austria
13347, E. Eyibil,19,CAM,1. FSV Mainz 05,Germany
13348, Pedro Augusto,23,CDM,CD Tondela,Brazil
13349, D. Fage,21,RWB,Oldham Athletic,France
13350, R. Zuijderwijk,19,CAM,Willem II,Netherlands
13351, M. Bahlouli,20,LW,Sampdoria,France
13352, K. Andrade,21,CB,America de Cali,Colombia
13353, M. Al Dawsari,20,RB,Al Raed,Saudi Arabia
13354, A. Ratajczyk,18,LM,Zaglebie Lubin,Poland
13355, D. Bouah,18,RB,Roma,Italy
13356, A. Toure,20,ST,Adelaide United,Australia
13357, 20 K. Bieszczad,16,GK,Zaglebie Lubin,Poland
13358, K. Smolinski,19,CM,Pogon Szczecin,Poland
13359, M. Burch,19,CB,FC Luzern,Switzerland
13360, 20 U. Vasic,17,LM,FC Thun,Switzerland
13361, A. Gozutok,19,CAM,1. FC Kaiserslautern,Germany
13362, 20 S. Markovic,19,CB,Olympiacos CFP,Serbia
13363, M. Sorinola,19,LWB,Milton Keynes Dons,England
13364, J. Jimenez,25,LB,Cruz Azul,Mexico
13365, C. Konan,20,ST,UD Logrones,Italy
13366, Choi Jae Young,22,CDM,Pohang Steelers,Korea Republic
13367, Kim Jeong hoon,19,GK,Jeonbuk Hyundai Motors,Korea Republic
13368, J. Dawa Tchakonte,24,CB,,Cameroon
13369, A. Ayman Mansour,26,CB,,Egypt
13370, Ernesto,25,RM,AD Alcorcon,Spain
13371, J. Anderson,20,CB,Burton Albion,Scotland
13372, L. Lotefa,20,ST,Dundalk,DR Congo
13373, K. Ouattara,21,LB,Ostersunds FK,Ivory Coast
13374, L. Stor,21,ST,SG Dynamo Dresden,Slovenia
13375, Bruno Duarte,24,ST,Vitoria Guimaraes,Brazil
13376, I. Bakare,18,CB,Morecambe,England
13377, T. White,23,CM,Bolton Wanderers,England
13378, G. Ngonda,25,LB,Dijon FCO,DR Congo
13379, H. Kyprianou,19,CDM,Leyton Orient,Cyprus
13380, Luis Castillo,20,GK,Elche CF,Spain
13381, Cesar Moreno,19,CM,Elche CF,Spain
13382, M. Bertagnoli,21,CM,Chievo Verona,Italy
13383, 20 G. Borrelli,19,ST,Pescara,Italy
13384, 20 S. Garcia,19,CAM,Atletico Huila,Colombia
13385, M. Konate,26,CDM,Sint-Truidense VV,Guinea
13386, H. Hackney,18,CM,Middlesbrough,England
13387, F. Tsadjout,20,ST,Sporting de Charleroi,Italy
13388, F. Hernandez,22,CM,Sporting Kansas City,United States
13389, Tiago Alves,24,CAM,Piast Gliwice,Portugal
13390, J. Cijntje,22,LM,Waasland-Beveren,Curacao
13391, 20 E. Senocak,17,CM,Medipol Basaksehir FK,Turkey
13392, L. Oppermann,18,GK,Hamburger SV,Germany
13393, S. Booth,19,GK,Crewe Alexandra,England
13394, Park Ho Young,21,CB,Busan IPark,Korea Republic
13395, M. Espinoza,22,LB,Club Libertad,Paraguay
13396, J. Shaffelburg,20,LM,Toronto FC,Canada
13397, K. Skibicki,18,LM,Legia Warszawa,Poland
13398, S. Mambo,21,LB,ESTAC Troyes,DR Congo
13399, C. Bombo,21,CDM,ESTAC Troyes,France
13400, E. Arslan,18,ST,SV Darmstadt 98,Germany
13401, S. Nurkovic,28,ST,Kaizer Chiefs,Serbia
13402, R. Slevin,21,CB,Cork City,Republic of Ireland
13403, L. Scepanik,26,LM,MSV Duisburg,Germany
13404, L. Mickels,25,LM,MSV Duisburg,Germany
13405, E. Mihaj,21,CB,PAOK,Albania
13406, Leo Cordeiro,24,CAM,Gil Vicente FC,Brazil
13407, Henrique Gomes,24,LB,Gil Vicente FC,Portugal
13408, T. Missner,20,LB,SV Wehen Wiesbaden,Germany
13409, C. Kinsombi,20,RM,KFC Uerdingen 05,Germany
13410, 20 R. Collins,18,CB,AFC Wimbledon,England
13411, J. Hilton,20,GK,Ross County FC,England
13412, G. Magnee,20,RB,KAS Eupen,Belgium
13413, N. Kainourgios,21,LB,SV Zulte-Waregem,Greece
13414, D. Huiberts,20,CM,PEC Zwolle,Netherlands
13415, A. Szoke,22,ST,Heracles Almelo,Hungary
13416, N. Dyhr,19,LWB,AC Horsens,Denmark
13417, J. Caceres,20,RB,Racing Club,Argentina
13418, Francisco Moura,20,LB,SC Braga,Portugal
13419, E. Florescu,23,CM,FC Botosani,Romania
13420, J. Papeau,24,LM,Amiens SC,France
13421, 20 N. Havenaar,24,CB,FC Thun,Japan
13422, J. Rudoni,19,CM,AFC Wimbledon,England
13423, A. Aguilmera,34,CB,,Ecuador
13424, A. Alfarnez,35,ST,,Ecuador
13425, E. Sancero,34,LM,,Ecuador
13426, J. Doriado,30,GK,,Ecuador
13427, C. Lendezo,26,LM,,Ecuador
13428, A. Chakraborty,34,CB,,India
13429, M. Chada,27,ST,,India
13430, E. Suresh,28,RM,,India
13431, Paulinho,23,CM,Boavista FC,Brazil
13432, B. Yameogo,26,LM,Chindia Targoviste,Burkina Faso
13433, A. Stoica,20,ST,FC Voluntari,Romania
13434, D. Solomons,21,CB,Varbergs BoIS,South Africa
13435, B. Kemper,21,CB,ADO Den Haag,Netherlands
13436, F. Honda,19,LM,Sagan Tosu,Japan
13437, 20 J. Ruiz Gomez,25,ST,Central Cordoba,Argentina
13438, S. Mensah,20,LM,SpVgg Unterhaching,Germany
13439, V. Constantin,22,LM,Universitatea Craiova,Romania
13440, E. Coacci,21,LW,Defensa y Justicia,Argentina
13441, Show,21,CM,Boavista FC,Angola
13442, A. Gomez,32,CAM,AC Mineros de Guayana,Venezuela
13443, F. Nagy,19,CB,Torino,Slovakia
13444, 20 M. Toscano,21,CDM,Virtus Entella,Italy
13445, L. Pandolfi,22,CF,Brescia,Italy
13446, H. Mbock,20,CM,Stade Brestois 29,France
13447, H. Bockhorn,25,RM,VfL Bochum 1848,Uganda
13448, G. Athanasiadis,27,GK,AEK Athens,Greece
13449, W. Britto,23,RB,,Ivory Coast
13450, Fabiano Alves,25,CDM,FC St. Gallen,Brazil
13451, B. Fazliji,21,CB,FC St. Gallen,Kosovo
13452, G. Harmon,19,LB,West Bromwich Albion,England
13453, O. Windsor,18,ST,West Bromwich Albion,England
13454, F. Bilbija,20,LM,FC Ingolstadt 04,Germany
13455, L. Schellenberg,19,GK,FC Ingolstadt 04,Germany
13456, Park Jung In,19,CAM,Busan IPark,Korea Republic
13457, S. Cabrera,22,LB,CD Palestino,Chile
13458, J. Neiss,20,LM,Hannover 96,Germany
13459, Z. Duncan,20,CM,Aarhus GF,Australia
13460, S. Doherty,20,CAM,Finn Harps,Republic of Ireland
13461, J. Handl,22,CB,FK Austria Wien,Austria
13462, K. Al Dawsari,21,CB,Al Qadisiyah,Saudi Arabia
13463, D. Quinones,21,RB,America de Cali,Colombia
13464, B. Mendoza,22,RM,U.N.A.M.,Mexico
13465, A. Phliponeau,20,CDM,Olympique de Marseille,France
13466, R. Matis,19,LW,FC Viitorul,Romania
13467, M. Blake,20,LWB,Swansea City,Wales
13468, O. Cooper,20,CAM,Swansea City,Wales
13469, S. Skogen,19,CB,Feyenoord,Norway
13470, A. Ocampo-Chavez,18,ST,Seattle Sounders FC,United States
13471, I. Thorvaldsson,19,CM,St. Mirren,Iceland
13472, A. Tertereau,28,CM,Rodez Aveyron Football,France
13473, P. Bardy,27,CB,Rodez Aveyron Football,France
13474, R. Takao,23,RB,Gamba Osaka,Japan
13475, Y. Ackah,21,CDM,Kayserispor,Ghana
13476, S. Delos,21,RWB,FC Chambly Oise,France
13477, J. Larsen,20,CB,FC Midtjylland,Denmark
13478, H. Fernandez,22,LM,Olimpia Asuncion,Paraguay
13479, 20 F. Cardozo,18,RW,Boavista FC,Paraguay
13480, E. Ramaj,24,LM,VfB Lubeck,Albania
13481, D. Abels,23,RB,Sparta Rotterdam,Netherlands
13482, S. Ogie,18,CB,Leyton Orient,Republic of Ireland
13483, R. Sotiriou,19,LW,Leyton Orient,Cyprus
13484, C. Boyce-Clarke,17,GK,Reading,England
13485, S. Sonnenberg,21,CB,FC Hansa Rostock,Germany
13486, D. Hocko,26,CM,Royal Excel Mouscron,Montenegro
13487, R. Boissier,26,CM,Rodez Aveyron Football,France
13488, Sergio Ruiz,25,CDM,UD Las Palmas,Spain
13489, L. Duarte,23,CM,Sparta Rotterdam,Netherlands
13490, S. Bakari,25,RB,RKC Waalwijk,Comoros
13491, J. Rochelt,21,CAM,Bayern Munchen II,Germany
13492, J. Holubek,29,LB,Piast Gliwice,Slovakia
13493, S. Wilson,20,CB,Barrow,England
13494, C. Costin,22,RWB,FC Voluntari,Romania
13495, A. Serban,19,LM,Chindia Targoviste,Romania
13496, A. Sut,21,CDM,FCSB (Steaua),Romania
13497, A. Buziuc,26,LW,FCSB (Steaua),Romania
13498, F. Achim,28,RB,Academica Clinceni,Romania
13499, J. Soraire,31,CM,Arsenal de Sarandi,Argentina
13500, M. Halaimia,23,RWB,Beerschot AC,Algeria
13501, T. Savin,19,GK,Accrington Stanley,England
13502, T. Grivosti,21,CB,Ross County FC,England
13503, A. M'hamdi,28,GK,Abha Club,Morocco
13504, T. Somers,21,RW,KSV Cercle Brugge,Belgium
13505, B. Ndilu,19,ST,FC Nantes,France
13506, M. Fofana,19,ST,Stromsgodset IF,Norway
13507, C. Vega,26,CDM,Central Cordoba,Argentina
13508, 20 Y. Ibrahim,19,LM,FC Wurzburger Kickers,Germany
13509, M. Balda,28,CAM,Guayaquil City,Ecuador
13510, B. Baggley,18,CM,Fleetwood Town,Northern Ireland
13511, N. Shaw,19,LM,Blackpool,England
13512, J. Medic,21,CDM,SV Wehen Wiesbaden,Croatia
13513, 20 K. Hachadi,21,ST,Vitoria de Setubal,Morocco
13514, A. Lungwitz,19,LB,Bayern Munchen II,Germany
13516, A. Colorado,21,CDM,Deportivo Cali,Colombia
13517, D. Idehen,17,CB,Grimsby Town,England
13518, B. Moltenis,21,CB,FC Sochaux-Montbeliard,France
13519, 20 Lucas Ribeiro,20,CB,TSG 1899 Hoffenheim,Brazil
13520, A. Jonjic,20,RM,FC Erzgebirge Aue,Germany
13521, N. Hernandez,22,CB,Atletico Nacional,Colombia
13522, C. Teran,19,CB,Chicago Fire,Colombia
13523, David Cardoso,25,CB,FC Girondins de Bordeaux,Macau
13524, A. Gutman,23,LB,New York Red Bulls,United States
13525, J. Hass,22,GK,Club Atletico Colon,Argentina
13526, S. Junqua,23,LB,Houston Dynamo,United States
13527, 20 B. Rojas,21,ST,Tromso IL,Costa Rica
13528, 20 W. Isidor,18,ST,AS Monaco,France
13529, 20 T. Ducrocq,19,CM,Racing Club de Lens,France
13530, Andre Shinyashiki,23,LM,Colorado Rapids,Brazil
13531, 20 J. Serrano,20,GK,Alianza Petrolera,Colombia
13532, R. Cabrera,31,CB,Nacional Potosi,Uruguay
13533, 19 J. Boller,18,CB,Bayer 04 Leverkusen,Germany
13534, H. Fujii,19,CB,Nagoya Grampus,Japan
13535, S. Lynch,20,RB,Sligo Rovers,Republic of Ireland
13536, K. Alvarez,23,RB,IFK Norrkoping,Honduras
13537, C. Ndaba,20,CB,Ipswich Town,Republic of Ireland
13538, R. Mimnaugh,18,CM,Hamilton Academical FC,Scotland
13539, M. Russell,24,LWB,Finn Harps,Scotland
13540, 19 F. Verde,18,ST,Cagliari,Italy
13541, 19 T. Federico,20,CM,San Martin de Tucuman,Argentina
13542, A. Cruz,24,CM,FC Cincinnati,Costa Rica
13543, J. Portillo,27,CDM,Real Salt Lake,United States
13544, A. Barman,26,CDM,Al Ain FC,United Arab Emirates
13545, 20 L. Ghezali,19,RW,AS Saint-Etienne,France
